    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 5928,       8693239,         8687323,          11690,     50678,       57042,        331
 5929,       8694192,         8688275,          11398,     50703,       57053,        333
 5930,       8694633,         8688715,          11500,     50703,       57064,        534
 5931,       8694880,         8688961,          11690,     50667,       57075,        328
 5932,       8699407,         8693487,          11144,     50860,       57086,        326
 5933,       8704243,         8698322,          11181,     50815,       57097,        331
 5934,       8709365,         8703443,          12230,     50737,       57108,        532
 5935,       8712959,         8707036,          16341,     50780,       57119,        345
 5936,       8718399,         8712475,          11255,     50739,       57130,        325
 5937,       8721018,         8715093,          11164,     50743,       57141,        326
 5938,       8722381,         8716455,          11213,     50962,       57152,        327
 5939,       8728051,         8722124,          11600,     50942,       57163,        330
 5940,       8731488,         8725560,          11153,     50986,       57174,        326
 5941,       8735035,         8729106,          11246,     50909,       57185,        331
 5942,       8737467,         8731537,          11578,     50878,       57196,        328
 5943,       8742833,         8736902,          11197,     50911,       57207,        326
 5944,       8745773,         8739841,          11347,     50884,       57218,        330
 5945,       8748235,         8742302,          11349,     50905,       57229,        325
 5946,       8752269,         8746335,          11239,     50944,       57240,        340
 5947,       8754135,         8748200,          12374,     51040,       57251,        516
 5948,       8755882,         8749946,          11404,     50984,       57262,        337
 5949,       8761534,         8755597,          11206,     51083,       57273,        324
 5950,       8764504,         8758566,          12320,     50864,       57284,        333
 5951,       8769635,         8763696,          11360,     50886,       57295,        326
 5952,       8772722,         8766782,          11246,     50970,       57306,        329
 5953,       8778375,         8772434,          12839,     51068,       57317,        332
 5954,       8782935,         8776993,          11350,     50897,       57328,        329
 5955,       8783907,         8777964,          11560,     50849,       57339,        381
 5956,       8785499,         8779555,          12103,     50941,       57350,        333
 5957,       8785882,         8779937,          11279,     50925,       57361,        329
 5958,       8790436,         8784490,          12153,     50871,       57372,        370
 5959,       8792326,         8786379,          11448,     50950,       57383,        327
 5960,       8796900,         8790952,          11296,     50899,       57394,        330
 5961,       8800647,         8794698,          13109,     50988,       57405,        364
 5962,       8803537,         8797587,          11569,     50946,       57416,        377
 5963,       8808466,         8802515,          11710,     51049,       57427,        502
 5964,       8811849,         8805897,          11982,     51032,       57438,        328
 5965,       8816040,         8810087,          11485,     51058,       57449,        326
 5966,       8816123,         8810169,          12207,     51100,       57460,        417
 5967,       8819734,         8813779,          12027,     51120,       57471,        331
 5968,       8822281,         8816325,          11284,     51158,       57482,        327
 5969,       8828034,         8822077,          13057,     51190,       57493,        332
 5970,       8833329,         8827371,          11332,     51118,       57504,        336
 5971,       8833758,         8827799,          12094,     51111,       57515,        330
 5972,       8836182,         8830222,          12246,     51336,       57526,        332
 5973,       8836251,         8830290,          11307,     51162,       57537,        324
 5974,       8839862,         8833900,          11520,     51192,       57548,        343
 5975,       8842630,         8836667,          13068,     51118,       57559,        331
 5976,       8845238,         8839274,          11391,     51210,       57570,        330
 5977,       8850482,         8844517,          11836,     51185,       57581,        450
 5978,       8851090,         8845124,          16024,     51287,       57592,        331
 5979,       8855600,         8849633,          11430,     51315,       57603,        384
 5980,       8856371,         8850403,          12250,     51351,       57614,        333
 5981,       8861747,         8855778,          11336,     51370,       57625,        348
 5982,       8864501,         8858531,          12192,     51171,       57636,        515
 5983,       8864958,         8858987,          11968,     51227,       57647,        333
 5984,       8869706,         8863734,          11359,     51305,       57658,        327
 5985,       8872809,         8866836,          11997,     51327,       57669,        330
 5986,       8876223,         8870249,          11442,     51314,       57680,        329
 5987,       8876601,         8870626,          13298,     51331,       57691,        328
 5988,       8882213,         8876237,          11885,     51310,       57702,        340
 5989,       8883658,         8877681,          11347,     51321,       57713,        326
 5990,       8887447,         8881469,          11564,     51321,       57724,        327
 5991,       8891822,         8885843,          14299,     51351,       57735,        330
 5992,       8893750,         8887770,          15679,     51321,       57746,        476
 5993,       8895815,         8889834,          13827,     51322,       57757,        342
 5994,       8899768,         8893786,          11421,     51519,       57768,        327
 5995,       8904874,         8898891,          12670,     51417,       57779,        385
 5996,       8905470,         8899486,          11497,     51440,       57790,        325
 5997,       8906721,         8900736,          11501,     51280,       57801,        326
 5998,       8908163,         8902177,          14002,     51172,       57812,        544
 5999,       8913998,         8908011,          13677,     51155,       57823,        333
 6000,       8918227,         8912239,          12292,     51356,       57834,        543
 6001,       8920147,         8914158,          12881,     51210,       57845,        333
 6002,       8925240,         8919250,          11493,     51527,       57856,        331
 6003,       8927955,         8921964,          12225,     51572,       57867,        437
 6004,       8932003,         8926011,          11787,     51528,       57878,        345
 6005,       8932690,         8926697,          11573,     51443,       57889,        334
 6006,       8934453,         8928459,          12906,     51667,       57900,        333
 6007,       8940326,         8934331,          11508,     51581,       57911,        328
 6008,       8942149,         8936153,          13056,     51572,       57922,        411
 6009,       8946919,         8940922,          12222,     51649,       57933,        335
 6010,       8949873,         8943875,          11549,     51677,       57944,        336
 6011,       8953923,         8947924,          13817,     51645,       57955,        527
 6012,       8958500,         8952500,          13990,     51381,       57966,        332
 6013,       8963363,         8957362,          11538,     51457,       57977,        333
 6014,       8967580,         8961578,          11759,     51491,       57988,        334
 6015,       8970474,         8964471,          11520,     51520,       57999,        329
 6016,       8974662,         8968658,          11659,     51424,       58010,        342
 6017,       8974993,         8968988,          14179,     51476,       58021,        333
 6018,       8980910,         8974904,          11970,     51502,       58032,        345
 6019,       8983039,         8977032,          12381,     51514,       58043,        334
 6020,       8984988,         8978980,          11504,     51493,       58054,        328
 6021,       8987877,         8981868,          12066,     51608,       58065,        487
 6022,       8990466,         8984456,          12289,     51633,       58076,        335
 6023,       8993568,         8987557,          11572,     51579,       58087,        336
 6024,       8995000,         8988988,          13334,     51702,       58098,        469
 6025,       8997797,         8991784,          14028,     51671,       58109,        334
 6026,       9002028,         8996014,          12437,     51555,       58120,        364
 6027,       9005054,         8999039,          12772,     51703,       58131,        333
 6028,       9005875,         8999859,          11545,     51830,       58142,        350
 6029,       9006209,         9000192,          12496,     51785,       58153,        548
 6030,       9010835,         9004817,          21202,     51668,       58164,        552
 6031,       9016479,         9010460,          16029,     51638,       58175,        553
 6032,       9016830,         9010810,          14966,     51773,       58186,        342
 6033,       9022471,         9016450,          13381,     51705,       58197,        344
 6034,       9022856,         9016834,          11589,     51682,       58208,        329
 6035,       9025632,         9019609,          11568,     51597,       58219,        330
 6036,       9031055,         9025031,          12713,     51825,       58230,        336
 6037,       9033058,         9027033,          13165,     51791,       58241,        541
 6038,       9036129,         9030103,          15738,     51768,       58252,        496
 6039,       9040082,         9034055,          11803,     51850,       58263,        345
 6040,       9045065,         9039037,          12273,     51804,       58274,        409
 6041,       9050594,         9044565,          12992,     51757,       58285,        337
 6042,       9050853,         9044823,          11658,     51801,       58296,        336
 6043,       9055683,         9049652,          12706,     51743,       58307,        343
 6044,       9058113,         9052081,          12772,     51832,       58318,        338
 6045,       9063189,         9057156,          12163,     51780,       58329,        341
 6046,       9063225,         9057191,          12767,     51878,       58340,        396
 6047,       9063527,         9057492,          11632,     51846,       58351,        331
 6048,       9065689,         9059653,          13054,     51640,       58362,        339
 6049,       9067588,         9061551,          12269,     51701,       58373,        337
 6050,       9069970,         9063932,          12317,     51773,       58384,        337
 6051,       9072379,         9066340,          13288,     51821,       58395,        402
 6052,       9076119,         9070079,          11775,     51846,       58406,        338
 6053,       9080850,         9074809,          11996,     51967,       58417,        463
 6054,       9081881,         9075839,          12644,     52150,       58428,        339
 6055,       9083076,         9077033,          11760,     52100,       58439,        338
 6056,       9084347,         9078303,          12263,     52321,       58450,        366
 6057,       9085178,         9079133,          11783,     52291,       58461,        338
 6058,       9085318,         9079272,          12290,     51909,       58472,        339
